id	chapter	lang	kind	side	span	reason
collaboration.fr#2	collaboration	fr	untrue	tr	chapters/collaboration.fr.qmd:307	span does not match file:START-END: 'chapters/collaboration.fr.qmd:307'
collaboration.fr#3	collaboration	fr	untrue	tr	chapters/collaboration.fr.qmd:321	span does not match file:START-END: 'chapters/collaboration.fr.qmd:321'
collaboration.fr#4	collaboration	fr	untrue	tr	chapters/collaboration.fr.qmd:475	span does not match file:START-END: 'chapters/collaboration.fr.qmd:475'
collaboration.fr#6	collaboration	fr	untrue	tr	chapters/collaboration.fr.qmd:651	span does not match file:START-END: 'chapters/collaboration.fr.qmd:651'
collaboration.fr#7	collaboration	fr	untrue	tr	chapters/collaboration.fr.qmd:91	span does not match file:START-END: 'chapters/collaboration.fr.qmd:91'
collaboration.fr#8	collaboration	fr	missing	tr	chapters/collaboration.fr.qmd:110	span does not match file:START-END: 'chapters/collaboration.fr.qmd:110'
collaboration.fr#9	collaboration	fr	missing	tr	chapters/collaboration.fr.qmd:110	span does not match file:START-END: 'chapters/collaboration.fr.qmd:110'
collaboration.fr#10	collaboration	fr	missing	tr	chapters/collaboration.fr.qmd:126	span does not match file:START-END: 'chapters/collaboration.fr.qmd:126'
collaboration.fr#12	collaboration	fr	missing	tr	chapters/collaboration.fr.qmd:418	span does not match file:START-END: 'chapters/collaboration.fr.qmd:418'
collaboration.fr#13	collaboration	fr	missing	tr	chapters/collaboration.fr.qmd:475	span does not match file:START-END: 'chapters/collaboration.fr.qmd:475'
collaboration.fr#14	collaboration	fr	missing	tr	chapters/collaboration.fr.qmd:582	span does not match file:START-END: 'chapters/collaboration.fr.qmd:582'
collaboration.vn#1	collaboration	vn	untrue	tr	chapters/collaboration.vn.qmd:231	span does not match file:START-END: 'chapters/collaboration.vn.qmd:231'
collaboration.vn#2	collaboration	vn	untrue	tr	chapters/collaboration.vn.qmd:232	span does not match file:START-END: 'chapters/collaboration.vn.qmd:232'
collaboration.vn#3	collaboration	vn	untrue	tr	chapters/collaboration.vn.qmd:441	span does not match file:START-END: 'chapters/collaboration.vn.qmd:441'
collaboration.vn#4	collaboration	vn	untrue	tr	chapters/collaboration.vn.qmd:662	span does not match file:START-END: 'chapters/collaboration.vn.qmd:662'
collaboration.vn#5	collaboration	vn	added	tr	chapters/collaboration.vn.qmd:660	span does not match file:START-END: 'chapters/collaboration.vn.qmd:660'
collaboration.vn#6	collaboration	vn	untrue	tr	chapters/collaboration.vn.qmd:137	span does not match file:START-END: 'chapters/collaboration.vn.qmd:137'
collaboration.vn#7	collaboration	vn	missing	tr	chapters/collaboration.vn.qmd:111	span does not match file:START-END: 'chapters/collaboration.vn.qmd:111'
collaboration.vn#8	collaboration	vn	untrue	en	chapters/collaboration.qmd:97	span does not match file:START-END: 'chapters/collaboration.qmd:97'
collaboration.vn#8	collaboration	vn	untrue	tr	chapters/collaboration.vn.qmd:59	span does not match file:START-END: 'chapters/collaboration.vn.qmd:59'
deduplication.pt#1	deduplication	pt	code_mismatch	en	chapters/deduplication.qmd:598	span does not match file:START-END: 'chapters/deduplication.qmd:598'
deduplication.pt#1	deduplication	pt	code_mismatch	tr	chapters/deduplication.pt.qmd:597	span does not match file:START-END: 'chapters/deduplication.pt.qmd:597'
deduplication.pt#2	deduplication	pt	code_mismatch	en	chapters/deduplication.qmd:323	span does not match file:START-END: 'chapters/deduplication.qmd:323'
deduplication.pt#2	deduplication	pt	code_mismatch	tr	chapters/deduplication.pt.qmd:323	span does not match file:START-END: 'chapters/deduplication.pt.qmd:323'
deduplication.pt#3	deduplication	pt	code_mismatch	en	chapters/deduplication.qmd:345	span does not match file:START-END: 'chapters/deduplication.qmd:345'
deduplication.pt#3	deduplication	pt	code_mismatch	tr	chapters/deduplication.pt.qmd:345	span does not match file:START-END: 'chapters/deduplication.pt.qmd:345'
deduplication.pt#5	deduplication	pt	untrue	en	chapters/deduplication.qmd:245	span does not match file:START-END: 'chapters/deduplication.qmd:245'
deduplication.pt#5	deduplication	pt	untrue	tr	chapters/deduplication.pt.qmd:245	span does not match file:START-END: 'chapters/deduplication.pt.qmd:245'
diagrams.vn#3	diagrams	vn	untrue	tr	chapters/diagrams.vn.vn.qmd:163-163	span does not match file:START-END: 'chapters/diagrams.vn.vn.qmd:163-163'
shiny_basics.tr#16	shiny_basics	tr	alignment_mismatch	en	chapters/shiny_basics.qmd:1402-1406	span 1402-1406 is outside chapters/shiny_basics.qmd, which has 1405 lines
shiny_basics.tr#16	shiny_basics	tr	alignment_mismatch	tr	chapters/shiny_basics.tr.qmd:1425-1429	span 1425-1429 is outside chapters/shiny_basics.tr.qmd, which has 1428 lines
transmission_chains.ru#5	transmission_chains	ru	untrue	tr	chapters/transmission_chains.ru.qmd:222	span does not match file:START-END: 'chapters/transmission_chains.ru.qmd:222'
